Date,AAPL,AAPL_Open,AAPL_Volume,AAPL_High,AAPL_Low,MSFT,MSFT_Open,MSFT_Volume,MSFT_High,MSFT_Low,GOOGL,GOOGL_Open,GOOGL_Volume,GOOGL_High,GOOGL_Low,AMZN,AMZN_Open,AMZN_Volume,AMZN_High,AMZN_Low,META,META_Open,META_Volume,META_High,META_Low,Year,Month,Day,DayOfWeek,GDP,CPI,DPI,Bond_Yield_10Y
2018-01-02,40.47983932495117,39.986356829367864,102223600,40.48924104050735,39.774861257800275,79.47419738769531,79.64063578550002,22483800,79.80707418330474,79.058104920467,53.40517044067383,52.40047527349359,31766000,53.543011638081616,52.40047527349359,59.45050048828125,58.599998474121094,53890000,59.5,58.5255012512207,180.5689697265625,176.84650833593108,18151900,180.7282228227546,176.71712848408478,2018,1,2,1,20328.553,248.859,14886.6,2.58
2018-01-03,40.472782135009766,40.543280645459944,118071600,41.0179667910744,40.40933670273748,79.8440170288086,79.5758660334768,26061400,79.99196532467292,79.49265040797539,54.31631851196289,53.44100198310784,31318000,54.544228982927415,53.41612321520075,60.209999084472656,59.415000915527344,62176000,60.27450180053711,59.415000915527344,183.80374145507812,181.02683557047084,16886600,183.9132260705838,180.47941249294252,2018,1,3,2,20328.553,248.859,14886.6,2.58
2018-01-04,40.66077423095703,40.54562655211502,89738400,40.76417156123102,40.43753195097619,80.54676818847656,80.06594321663113,21912000,81.05533170589693,80.04745320443583,54.527305603027344,54.593490792046104,26052000,54.94132655368835,54.45266550573435,60.47949981689453,60.25,60442000,60.79349899291992,60.233001708984375,183.46533203125,184.03265033266837,13880900,185.3365180379734,183.23641518592063,2018,1,4,3,20328.553,248.859,14886.6,2.58
2018-01-05,41.12370681762695,40.75711891913654,94640000,41.21065293604508,40.66547194451393,81.54541015625,81.05534363347391,23407100,81.74883559315292,80.8426696618304,55.25034713745117,54.90997540455331,30250000,55.414065587896275,54.827867505571874,61.457000732421875,60.8754997253418,70894000,61.457000732421875,60.5,185.9735107421875,184.71941156087465,13574500,186.0232640472396,184.06250391230233,2018,1,5,4,20328.553,248.859,14886.6,2.58
2018-01-08,40.970977783203125,40.970977783203125,82271200,41.267067287873886,40.872277695942245,81.62860107421875,81.55462692783598,22113000,81.90600059587268,80.999834939091,55.44541549682617,55.285679617799445,24644000,55.69173920189661,55.2359182885604,62.34349822998047,61.79999923706055,85590000,62.65399932861328,61.60150146484375,187.3968048095703,186.32186910933495,17994700,188.01389162023398,185.4559550121505,2018,1,8,0,20328.553,248.859,14886.6,2.58
2018-01-09,40.96627426147461,41.01797293783852,86336000,41.137817913571006,40.750081426545414,81.57313537597656,81.9707376500693,19484300,82.04471180677582,81.24025872536107,55.374755859375,55.65591288308646,26808000,55.65591288308646,55.14634804825195,62.6349983215332,62.845001220703125,73226000,62.96649932861328,62.0880012512207,186.9886932373047,187.8148015132786,12393100,187.9143384861756,186.22231625739485,2018,1,9,1,20328.553,248.859,14886.6,2.58
2018-01-10,40.956871032714844,40.69133175288106,95839600,40.9592232542741,40.65373206496888,81.20325469970703,81.240241770341,18652200,81.54537981214952,80.82414957119295,55.24288558959961,55.08663114150458,20734000,55.37425747451425,54.936352456980806,62.71649932861328,62.25749969482422,53720000,62.71649932861328,61.86149978637695,186.95884704589844,186.0630749818254,10529900,187.00861553550487,184.75922256507457,2018,1,10,2,20328.553,248.859,14886.6,2.58
2018-01-11,41.189510345458984,41.027364847417985,74670800,41.2388603783988,41.00386773444446,81.44367980957031,81.48990836413721,17808900,81.48990836413721,80.66696531447342,55.33793258666992,55.35087121590882,22424000,55.47726582994094,55.060758142760186,63.83399963378906,62.98699951171875,62500000,63.8385009765625,62.823001861572266,186.88919067382812,187.5162250685007,9588600,187.5162250685007,186.50102073914078,2018,1,11,3,20328.553,248.859,14886.6,2.58
2018-01-12,41.614845275878906,41.401001115382634,101672400,41.67829429194218,41.27645530447889,82.84916687011719,81.98923660466052,24271500,83.01560521357862,81.78581117881157,56.26350784301758,55.240896749478004,38586000,56.29585061961878,55.13689416440777,65.26000213623047,63.669498443603516,108874000,65.28800201416016,63.669498443603516,178.52857971191406,177.22472728437162,77551300,180.62868241811768,176.56781966543534,2018,1,12,4,20328.553,248.859,14886.6,2.58
2018-01-16,41.40336227416992,41.80519776267262,118263600,42.155338158660705,41.391611922628655,81.69332122802734,83.31146853553322,36599700,83.94948315995266,81.37894170875902,56.265995025634766,56.74420798172111,36462000,57.170670216908654,56.064956516079036,65.24299621582031,66.1500015258789,144414000,66.99700164794922,64.61499786376953,177.55319213867188,180.64860408895177,36183800,180.89743136731119,177.20482787408395,2018,1,16,1,20328.553,248.859,14886.6,2.58
